콘텐츠ID,발행일,채널,퍼널,제목,타깃키워드,유입등급,조회,클릭,문의
B801,2026-08-04,블로그,비교,세럼 고르는 기준,수분 세럼 비교,중,4387,789,7
B802,2026-08-08,블로그,비교,우리 세럼과 다른 세럼,세럼 차이,중,3882,698,5
B803,2026-08-01,블로그,인지,성분표 읽는 법,화장품 성분표,상,9896,1781,1
B804,2026-08-11,블로그,인지,세럼이 따가운 이유,세럼 따가움,상,10180,1832,0
B805,2026-08-13,인스타,인지,수분 세럼 3단계 루틴,수분 루틴,중,4067,732,0
B806,2026-08-18,인스타,인지,건조한 계절 피부 관리,환절기 피부,중,3837,690,0
B807,2026-08-20,뉴스레터,인지,민감성 피부가 피해야 할 성분,민감성 성분,하,1200,216,0
B808,2026-08-25,유튜브,인지,세럼 흡수가 느린 이유,세럼 흡수,하,1349,242,0
B809,2026-08-27,블로그,전환,첫 구매 가이드,수분 세럼 구매,하,1878,338,1
B810,2026-08-29,인스타,전환,재구매 고객 후기 모음,세럼 후기,하,1800,324,0
