콘텐츠ID,발행일,채널,유형,제목,타깃키워드,조회,평균체류초,클릭,전환,매출
C007,2026-05-04,블로그,정보성,민감성 피부 진정 루틴 3단계,민감성 진정 앰플,11965,122,2226,66,5148000
C014,2026-05-04,인스타,카드뉴스,세럼 1병으로 두 달 쓰는 법,세럼 파우치 여행용,5985,55,1045,266,20748000
C036,2026-05-09,뉴스레터,큐레이션,겨울 대비 크림 예고,고보습 크림,1429,108,399,12,936000
C025,2026-05-12,인스타,공지,여름 휴가 배송 공지,-,1097,36,139,10,780000
C038,2026-05-13,뉴스레터,공지,월간 브랜드 소식 6월호,-,2259,30,198,19,1482000
C010,2026-05-16,블로그,정보성,재구매율 1위 세럼 성분 뜯어보기,장벽 세럼 추천,8317,124,2391,218,17004000
C021,2026-05-17,뉴스레터,정보성,피부 타입 자가진단 체크리스트,속건조 세럼,1753,172,285,85,6630000
C016,2026-05-19,뉴스레터,후기,정기구독 시작한 분들 후기 모음,장벽 세럼 추천,555,210,126,35,2730000
C039,2026-05-19,블로그,브랜딩,친환경 용기 전환 이야기,-,1743,50,147,13,1014000
C022,2026-05-21,블로그,공지,브랜드 리뉴얼 소식,-,1819,35,163,14,1092000
C028,2026-05-22,블로그,후기,고보습 크림 겨울 사용기,고보습 크림,990,209,320,6,468000
C024,2026-05-24,블로그,공지,사무실 이전 안내,-,1939,23,121,9,702000
C015,2026-05-25,뉴스레터,정보성,성분표 읽는 법 완전 정리,히알루론산 세럼 순위,679,174,143,36,2808000
C005,2026-05-27,블로그,정보성,히알루론산 저분자 고분자 차이,히알루론산 세럼 순위,6022,150,1816,35,2730000
C001,2026-05-28,인스타,릴스,여름철 끈적임 없는 세럼 바르는 법,끈적임 없는 세럼,9673,25,1144,21,1638000
C029,2026-05-28,블로그,브랜딩,사내 스터디 후기,-,1170,64,127,2,156000
C008,2026-05-30,유튜브,리뷰,클렌징밤 vs 클렌징오일 뭐가 맞나,저자극 클렌징밤,7932,194,2386,21,1638000
C003,2026-06-01,블로그,정보성,피부 장벽이 무너졌다는 신호 5가지,장벽 세럼 추천,9876,130,1844,52,4056000
C030,2026-06-05,인스타,브랜딩,패키지 디자인 비하인드,-,2009,36,247,4,312000
C035,2026-06-07,인스타,카드뉴스,미백 앰플 사용 순서,미백 세럼,910,64,71,5,390000
C037,2026-06-07,뉴스레터,공지,월간 브랜드 소식 5월호,-,1601,26,260,14,1092000
C020,2026-06-10,블로그,정보성,세럼 유통기한과 보관법,세럼 사용순서,902,182,277,40,3120000
C027,2026-06-16,블로그,정보성,각질 제거 주기 얼마가 맞나,각질 제거 세럼,1740,142,586,18,1404000
C006,2026-06-22,인스타,카드뉴스,세럼 먼저? 앰플 먼저? 순서 정리,세럼 사용순서,14078,69,2022,61,4758000
C034,2026-06-23,인스타,카드뉴스,각질 관리 오해와 진실,각질 제거 세럼,1148,34,205,10,780000
C004,2026-06-26,유튜브,리뷰,여름 수분크림 3종 발림 비교,여름 수분크림,14377,178,2035,31,2418000
C017,2026-06-26,뉴스레터,프로모션,재입고 알림 신청하신 분께,여름 수분크림,1091,93,237,45,3510000
C018,2026-06-30,인스타,릴스,여행용 소분 파우치 실사용기,세럼 파우치 여행용,1071,40,141,61,4758000
C023,2026-06-30,블로그,공지,5월 배송 일정 안내,-,1523,28,167,2,156000
C002,2026-07-03,블로그,정보성,속건조인데 겉은 번들거리는 이유,속건조 세럼,14001,173,2814,64,4992000
C031,2026-07-03,인스타,브랜딩,촬영 현장 스케치,-,287,64,18,1,78000
C013,2026-07-10,뉴스레터,큐레이션,첫 구매 고객이 가장 많이 산 조합,속건조 세럼,3350,92,513,110,8580000
C033,2026-07-11,유튜브,브랜딩,성분 연구원 인터뷰,-,983,53,175,9,702000
C032,2026-07-13,유튜브,브랜딩,대표 인터뷰 1편,-,1144,40,140,5,390000
C009,2026-07-15,블로그,후기,수분 세럼 30일 사용 후기,히알루론산 세럼 순위,6986,124,1982,218,17004000
C019,2026-07-19,뉴스레터,큐레이션,환절기 전 미리 사두는 이유,고보습 크림,1539,76,316,78,6084000
C040,2026-07-19,블로그,공지,고객센터 운영시간 변경,-,1753,21,116,2,156000
C012,2026-07-20,블로그,정보성,피부과 상담 전 확인하는 3가지,민감성 진정 앰플,4839,99,1045,207,16146000
C011,2026-07-29,뉴스레터,프로모션,여름 한정 세럼+크림 세트 안내,여름 수분크림,7089,83,2347,316,24648000
C026,2026-07-29,블로그,정보성,미백 세럼 성분 이야기,미백 세럼,1973,134,601,8,624000
