업무ID,업무명,분류,주기,회당소요분,월횟수,판단개입,데이터출처,규칙명확성,오류허용도,비고
W01,메타·네이버 광고 성과 취합,광고,주 1회,90,4,낮음,CSV·API,높음,높음,매체별 시트를 손으로 합친다
W02,주간 광고 리포트 작성,광고,주 1회,120,4,중간,광고 성과 파일,높음,중간,같은 양식을 매주 다시 만든다
W03,ROAS 미달 캠페인 점검,광고,주 2회,30,8,높음,광고 대시보드,중간,낮음,끄고 켜는 판단이 들어간다
W04,콘텐츠 성과 정리,콘텐츠,주 1회,60,4,낮음,채널 통계,높음,높음,조회·전환을 표로 옮긴다
W05,다음 주 콘텐츠 캘린더 편성,콘텐츠,주 1회,90,4,높음,성과·트렌드,중간,중간,주제 선정에 판단이 크다
W06,블로그 초안 작성,콘텐츠,주 2회,150,8,높음,기획안,낮음,중간,매번 새로 쓴다
W07,인스타 카드뉴스 문구 작성,콘텐츠,주 3회,45,12,중간,기획안,중간,중간,포맷은 같고 내용만 다르다
W08,고객 리뷰 수집·분류,CRM,주 1회,75,4,낮음,리뷰 CSV,높음,높음,채널 3곳에서 긁어 분류한다
W09,이탈 위험 고객 추출,CRM,월 1회,60,1,낮음,고객 마스터,높음,높음,조건만 걸면 나온다
W10,윈백 메시지 작성·발송,CRM,월 2회,90,2,높음,세그먼트 목록,중간,낮음,발송은 되돌릴 수 없다
W11,경쟁사 사이트 변경점 확인,브랜드,매일,25,22,낮음,경쟁사 사이트,높음,높음,어제와 비교만 하면 된다
W12,키워드 순위 확인,브랜드,주 1회,40,4,낮음,검색 결과,높음,높음,같은 키워드를 매주 본다
W13,퍼널 전환율 점검,그로스,주 1회,50,4,중간,GA·주문 데이터,높음,중간,급락이 있으면 판단이 필요하다
W14,A/B 테스트 결과 판정,그로스,월 2회,45,2,중간,실험 데이터,높음,낮음,통계 계산은 규칙이 명확하다
W15,월간 종합 보고서 작성,운영,월 1회,240,1,높음,전 채널 데이터,중간,낮음,취합은 기계적이고 해석은 사람 몫
