"게시물 ID","계정 ID","계정 사용자 이름","계정 이름",설명,기간(초),"게시 시간","고유 링크","게시물 유형","데이터 댓글",날짜,조회,도달,좋아요,공유,팔로우,댓글,저장
18310042118820001,17841400000000001,abrand_official,에이브랜드,"수분 세럼 한 방울로 끝내는 아침 루틴",31,"07/02/2026 19:10",https://www.instagram.com/reel/DA1aB2cD3e1/,"Instagram 릴스",,"전체 기간",2380,1950,131,21,11,9,79
18310042118820002,17841400000000001,abrand_official,에이브랜드,"트러블 진정 앰플 3일 사용기",44,"07/04/2026 20:05",https://www.instagram.com/reel/DA1aB2cD3e2/,"Instagram 릴스",,"전체 기간",2110,1720,115,17,8,7,68
18310042118820003,17841400000000001,abrand_official,에이브랜드,"선크림 백탁 없이 바르는 법",27,"07/07/2026 18:40",https://www.instagram.com/reel/DA1aB2cD3e3/,"Instagram 릴스",,"전체 기간",2460,2010,138,23,12,9,83
18310042118820004,17841400000000001,abrand_official,에이브랜드,"성분표 읽는 법 한 장 정리",0,"07/09/2026 12:30",https://www.instagram.com/p/DA1aB2cD3e4/,"Instagram 캐러셀",,"전체 기간",1980,1610,104,15,7,6,62
18310042118820005,17841400000000001,abrand_official,에이브랜드,"클렌징 오일 사용 순서",36,"07/11/2026 19:55",https://www.instagram.com/reel/DA1aB2cD3e5/,"Instagram 릴스",,"전체 기간",2240,1830,122,19,9,8,73
18310042118820006,17841400000000001,abrand_official,에이브랜드,"환절기 각질 정리 루틴",0,"07/14/2026 13:20",https://www.instagram.com/p/DA1aB2cD3e6/,"Instagram 게시물",,"전체 기간",2050,1680,110,16,8,7,66
18310042118820007,17841400000000001,abrand_official,에이브랜드,"펌프 끝까지 쓰는 방법",22,"07/16/2026 20:15",https://www.instagram.com/reel/DA1aB2cD3e7/,"Instagram 릴스",,"전체 기간",2520,2060,142,24,12,10,85
18310042118820008,17841400000000001,abrand_official,에이브랜드,"토너 패드 보관 팁",0,"07/18/2026 12:05",https://www.instagram.com/p/DA1aB2cD3e8/,"Instagram 게시물",,"전체 기간",1900,1550,99,14,7,6,59
18310042118820009,17841400000000001,abrand_official,에이브랜드,"밤 루틴 5분 컷",39,"07/21/2026 21:00",https://www.instagram.com/reel/DA1aB2cD3e9/,"Instagram 릴스",,"전체 기간",2300,1880,126,20,10,8,75
18310042118820010,17841400000000001,abrand_official,에이브랜드,"수분 크림 갈아탄 이유",33,"07/23/2026 19:30",https://www.instagram.com/reel/DA1aB2cD3f0/,"Instagram 릴스",,"전체 기간",2160,1770,118,18,9,7,70
18310042118820011,17841400000000001,abrand_official,에이브랜드,"여름 피지 관리 세 가지",29,"07/25/2026 18:25",https://www.instagram.com/reel/DA1aB2cD3f1/,"Instagram 릴스",,"전체 기간",2420,1980,135,22,11,9,81
18310042118820012,17841400000000001,abrand_official,에이브랜드,"용기 재활용 안내",0,"07/27/2026 11:40",https://www.instagram.com/p/DA1aB2cD3f2/,"Instagram 캐러셀",,"전체 기간",1840,1500,96,13,6,6,57
18310042118820013,17841400000000001,abrand_official,에이브랜드,"세안 후 3분 안에 해야 할 것",26,"07/28/2026 20:45",https://www.instagram.com/reel/DA1aB2cD3f3/,"Instagram 릴스",,"전체 기간",2270,1850,124,19,10,8,74
18310042118820014,17841400000000001,abrand_official,에이브랜드,"자극 없는 각질 제거 성분",34,"07/29/2026 19:15",https://www.instagram.com/reel/DA1aB2cD3f4/,"Instagram 릴스",,"전체 기간",2090,1710,113,17,8,7,67
18310042118820015,17841400000000001,abrand_official,에이브랜드,"에센스와 세럼의 차이",41,"07/30/2026 20:30",https://www.instagram.com/reel/DA1aB2cD3f5/,"Instagram 릴스",,"전체 기간",2280,1860,125,20,10,8,74
18310042118820016,17841400000000001,abrand_official,에이브랜드,"수분 세럼 재입고 안내",28,"08/01/2026 19:20",https://www.instagram.com/reel/DA1aB2cD3g1/,"Instagram 릴스",,"전체 기간",1730,1405,93,14,7,7,56
